iter	MultiClass
0	1.04248297
1	0.9944641472
2	0.9497390419
3	0.9110740702
4	0.8759249181
5	0.8418028429
6	0.8121381007
7	0.7833571303
8	0.7560228948
9	0.7347079851
10	0.7116662338
11	0.6918811148
12	0.6710114901
13	0.6545202798
14	0.6369815641
15	0.6209671594
16	0.6037107579
17	0.5898051181
18	0.5770347582
19	0.5638246384
20	0.5498430392
21	0.5378899447
22	0.5258122069
23	0.5161195008
24	0.5042534515
25	0.493654808
26	0.4846508192
27	0.4763863571
28	0.4689025254
29	0.4605446041
30	0.4525534757
31	0.4448291104
32	0.4379930031
33	0.4309587086
34	0.4236970288
35	0.4172647817
36	0.4101169658
37	0.4047856103
38	0.3987385636
39	0.3916940937
40	0.3862807861
41	0.3816015267
42	0.3763789981
43	0.3716202743
44	0.367969548
45	0.3647041064
46	0.3607745171
47	0.3568025438
48	0.3535350405
49	0.3490853702
50	0.3466763744
51	0.3425902308
52	0.3392757704
53	0.33621365
54	0.3340062889
55	0.3315144141
56	0.3286444011
57	0.3253166759
58	0.3217976736
59	0.3186860436
60	0.3165880927
61	0.3134572392
62	0.3105736278
63	0.3085519727
64	0.3062576678
65	0.3034509492
66	0.301515594
67	0.2999573061
68	0.2976330989
69	0.2962139693
70	0.2944947799
71	0.2919767704
72	0.2908461361
73	0.2889212776
74	0.2872147626
75	0.2860199888
76	0.2844025075
77	0.2832901856
78	0.2814061574
79	0.2793314242
80	0.2784487773
81	0.2775227442
82	0.2763936982
83	0.2755768584
84	0.2743446291
85	0.2734111883
86	0.2718578494
87	0.2704401063
88	0.2689837394
89	0.2681637642
90	0.2664193911
91	0.2655905952
92	0.2640703487
93	0.2632224484
94	0.2620184863
95	0.2609777392
96	0.2598318118
97	0.2584052188
98	0.2573803399
99	0.2567194059
100	0.2565263249
101	0.2555619482
102	0.2546478925
103	0.2535190437
104	0.2531209235
105	0.2516847162
106	0.2509429046
107	0.2499800954
108	0.2486479661
109	0.2470509192
110	0.246148988
111	0.245104103
112	0.2444989384
113	0.2440666685
114	0.2433114709
115	0.2423925066
116	0.2416720419
117	0.2408096227
118	0.2400596289
119	0.2388039909
120	0.2380260426
121	0.237753466
122	0.2371499436
123	0.2363614016
124	0.2356707263
125	0.2348354566
126	0.2343426315
127	0.2335413535
128	0.2328532789
129	0.2320341528
130	0.2311858971
131	0.2306669221
132	0.2298904286
133	0.2293133041
134	0.2287898042
135	0.228098964
136	0.2274074315
137	0.2269025169
138	0.2260385638
139	0.2253108298
140	0.2246751645
141	0.2242633558
142	0.2237074943
143	0.2230337901
144	0.2224130559
145	0.2218131715
146	0.2212710623
147	0.2203604272
148	0.2197225453
149	0.2192541413
150	0.2187165129
151	0.2183049092
152	0.2178775208
153	0.2173295618
154	0.2166747055
155	0.2160990714
156	0.2156797282
157	0.2153284442
158	0.2145773086
159	0.2139619977
