iter	Passed	Remaining
0	27	18973
1	47	16591
2	68	15880
3	89	15621
4	110	15366
5	130	15061
6	149	14843
7	171	14853
8	192	14798
9	213	14764
10	235	14761
11	255	14647
12	275	14585
13	296	14523
14	317	14513
15	337	14444
16	357	14365
17	377	14294
18	404	14502
19	450	15320
20	562	18203
21	607	18731
22	636	18744
23	656	18500
24	674	18215
25	694	18002
26	714	17814
27	753	18075
28	772	17876
29	792	17708
30	812	17524
31	831	17347
32	852	17229
33	872	17098
34	892	16957
35	930	17161
36	971	17415
37	1000	17425
38	1028	17424
39	1046	17263
40	1064	17115
41	1087	17033
42	1116	17065
43	1136	16948
44	1155	16814
45	1173	16688
46	1192	16561
47	1219	16570
48	1241	16492
49	1259	16371
50	1278	16267
51	1296	16161
52	1324	16169
53	1344	16085
54	1365	16018
55	1390	15991
56	1430	16133
57	1466	16232
58	1502	16318
59	1535	16380
60	1573	16481
61	1609	16563
62	1638	16567
63	1658	16483
64	1696	16577
65	1733	16649
66	1753	16564
67	1773	16483
68	1792	16393
69	1812	16311
70	1831	16225
71	1852	16155
72	1873	16090
73	1893	16014
74	1913	15942
75	1942	15952
76	1962	15878
77	1982	15810
78	2001	15733
79	2020	15660
80	2040	15593
81	2061	15537
82	2081	15476
83	2103	15425
84	2133	15439
85	2152	15371
86	2173	15312
87	2200	15305
88	2224	15274
89	2244	15210
90	2263	15146
91	2283	15092
92	2304	15037
93	2323	14979
94	2343	14923
95	2364	14877
96	2385	14827
97	2422	14883
98	2460	14934
99	2489	14935
100	2525	14976
101	2561	15014
102	2596	15052
103	2638	15123
104	2668	15122
105	2692	15087
106	2709	15018
107	2729	14963
108	2751	14917
109	2796	14999
110	2827	15004
111	2861	15025
112	2880	14961
113	2899	14902
114	2919	14850
115	2948	14846
116	2967	14786
117	2986	14731
118	3007	14683
119	3025	14622
120	3044	14569
121	3064	14519
122	3086	14476
123	3106	14428
124	3124	14371
125	3143	14319
126	3161	14264
127	3181	14216
128	3202	14174
129	3223	14132
130	3242	14085
131	3261	14034
132	3279	13980
133	3298	13932
134	3317	13886
135	3335	13833
136	3355	13790
137	3376	13749
138	3394	13701
139	3415	13662
140	3436	13623
141	3455	13579
142	3474	13535
143	3496	13499
144	3514	13452
145	3532	13404
146	3552	13362
147	3571	13320
148	3592	13283
149	3611	13243
150	3629	13195
151	3648	13152
152	3667	13111
153	3687	13072
154	3706	13032
155	3725	12992
156	3743	12946
157	3761	12904
158	3780	12861
159	3799	12823
160	3819	12787
161	3839	12750
162	3857	12707
163	3876	12671
164	3894	12629
165	3914	12592
166	3942	12583
167	3961	12543
168	3979	12505
169	3998	12464
170	4017	12427
171	4037	12394
172	4055	12354
173	4074	12318
174	4095	12286
175	4116	12256
176	4135	12218
177	4155	12186
178	4175	12152
179	4197	12125
180	4216	12089
181	4236	12057
182	4255	12021
183	4274	11987
184	4293	11951
185	4313	11921
186	4332	11886
187	4367	11893
188	4404	11909
189	4443	11927
190	4479	11938
191	4516	11949
192	4557	11973
193	4598	11994
194	4628	11987
195	4648	11953
196	4668	11919
197	4689	11888
